date,temperature_c,rainfall_mm
1990-01-01,9.114,4.025
1990-01-02,8.528,3.954
1990-01-03,9.749,4.493
1990-01-04,7.87,7.494
1990-01-05,7.413,4.155
1990-01-06,8.945,2.608
1990-01-07,11.98,0.0
1990-01-08,14.269,0.0
1990-01-09,12.994,0.693
1990-01-10,11.433,0.0
1990-01-11,12.153,1.375
1990-01-12,12.213,5.784
1990-01-13,9.949,2.794
1990-01-14,11.982,0.0
1990-01-15,7.873,6.431
1990-01-16,6.782,4.383
1990-01-17,6.15,2.101
1990-01-18,6.309,0.0
1990-01-19,5.477,4.339
1990-01-20,9.817,13.915
1990-01-21,10.78,10.451
1990-01-22,15.932,6.168
1990-01-23,11.886,6.561
1990-01-24,9.748,2.78
1990-01-25,10.854,0.032
1990-01-26,8.873,0.697
1990-01-27,10.894,0.788
1990-01-28,11.551,7.36
1990-01-29,8.502,6.424
1990-01-30,7.698,1.458
1990-01-31,8.923,4.743
1990-02-01,11.607,1.707
1990-02-02,14.481,5.679
1990-02-03,12.765,8.048
1990-02-04,12.07,9.148
1990-02-05,10.177,4.903
1990-02-06,8.273,4.606
1990-02-07,7.365,0.0
1990-02-08,9.658,0.159
1990-02-09,5.934,1.522
1990-02-10,10.696,3.143
1990-02-11,15.74,3.833
1990-02-12,15.415,5.342
1990-02-13,12.091,4.411
1990-02-14,10.837,4.96
1990-02-15,8.732,7.792
1990-02-16,10.518,6.304
1990-02-17,14.807,7.364
1990-02-18,9.148,4.307
1990-02-19,4.688,6.022
1990-02-20,8.176,1.703
1990-02-21,7.6,14.622
1990-02-22,16.947,7.46
1990-02-23,14.895,5.264
1990-02-24,13.005,5.65
1990-02-25,12.789,4.558
1990-02-26,12.102,0.0
1990-02-27,12.258,5.022
1990-02-28,14.555,6.246
1990-03-01,7.781,7.188
1990-03-02,8.982,5.059
1990-03-03,3.194,0.0
1990-03-04,6.658,0.0
1990-03-05,6.211,0.0
1990-03-06,6.415,0.0
1990-03-07,8.883,0.231
1990-03-08,8.897,5.003
1990-03-09,15.533,5.516
1990-03-10,11.396,3.673
1990-03-11,13.092,3.52
1990-03-12,11.379,4.184
1990-03-13,11.95,3.159
1990-03-14,16.024,0.787
1990-03-15,13.445,0.0
1990-03-16,14.081,0.0
1990-03-17,15.381,0.946
1990-03-18,6.647,0.0
1990-03-19,7.78,8.067
1990-03-20,7.65,4.766
1990-03-21,10.375,0.959
1990-03-22,14.1,0.0
1990-03-23,15.254,2.541
1990-03-24,14.199,8.428
1990-03-25,15.46,5.079
1990-03-26,17.357,8.372
1990-03-27,20.21,5.318
1990-03-28,18.626,4.525
1990-03-29,14.008,0.0
1990-03-30,12.348,2.123
1990-03-31,16.446,0.0
1990-04-01,16.153,0.0
1990-04-02,15.174,0.0
1990-04-03,16.319,0.0
1990-04-04,10.962,0.0
1990-04-05,13.902,0.0
1990-04-06,12.478,1.725
1990-04-07,15.27,0.832
1990-04-08,15.386,0.0
1990-04-09,21.927,0.0
1990-04-10,19.249,0.0
